(Parent) ASIN,(Child) ASIN,Title,SKU,Sessions - Total,Sessions - Total - B2B,Session Percentage - Total,Session Percentage - Total - B2B,Page Views - Total,Page Views - Total - B2B,Page Views Percentage - Total,Page Views Percentage - Total - B2B,Featured Offer (Buy Box) Percentage,Featured Offer (Buy Box) Percentage - B2B,Units Ordered,Units Ordered - B2B,Unit Session Percentage,Unit Session Percentage - B2B,Ordered Product Sales,Ordered Product Sales - B2B,Total Order Items,Total Order Items - B2B
B0A3C4D5B6,B0A3C4D5B6,product 1,GZ-M3JQ-RB74,201,0,2.52%,0.00%,276,0,2.57%,0.00%,100.00%,0.00%,53,0,26.37%,0.00%,$259.48 ,$0.00 ,48,0
B0B9D0C1A8,B0B9D0C1A8,product 2,KP-39XH-B2Y1,356,20,4.46%,4.29%,497,25,4.62%,4.31%,100.00%,100.00%,43,19,12.08%,95.00%,"$1,288.81 ",$569.05 ,34,11
B0C1A2B3D4,B0C1A2B3D4,product 3,84-RNQT-7F8W,456,21,5.71%,4.51%,619,26,5.76%,4.48%,99.84%,100.00%,28,12,6.14%,57.14%,"$1,394.28 ",$594.44 ,24,8
B0D7B6C9A8,B0D7B6C9A8,product 4,TH-QD7K-MJ4B,232,28,2.90%,6.01%,305,37,2.84%,6.38%,99.27%,100.00%,19,14,8.19%,50.00%,"$1,386.29 ","$1,021.34 ",17,12
B0E5A4C3B2,B0E5A4C3B2,product 5,5L-2JRV-DX9P,154,5,1.93%,1.07%,229,7,2.13%,1.21%,100.00%,100.00%,16,3,10.39%,60.00%,$479.72 ,$89.85 ,16,3
B0F8C7B9A6,B0F8C7B9A6,product 6,TL-X8G4-RN5F,88,5,1.10%,1.07%,123,6,1.14%,1.03%,100.00%,100.00%,25,18,28.41%,360.00%,$874.03 ,$629.10 ,14,7
B0G2D1A0B5,B0G2D1A0B5,product 7,V9-7YKW-T1Z2,99,14,1.24%,3.00%,126,21,1.17%,3.62%,100.00%,100.00%,13,4,13.13%,28.57%,$779.71 ,$239.80 ,12,3
B0H4B3C8A7,B0H4B3C8A7,product 8,QW-C8N4-K3HM,533,33,6.67%,7.08%,684,39,6.36%,6.72%,100.00%,100.00%,17,5,3.19%,15.15%,$764.79 ,$224.91 ,11,2
B0I0A9D2B1,B0I0A9D2B1,product 9,TE-B2J6-PFQX,118,9,1.48%,1.93%,149,10,1.39%,1.72%,100.00%,100.00%,12,3,10.17%,33.33%,$287.76 ,$71.85 ,11,3
B0J6C5A8D4,B0J6C5A8D4,product 10,78-P0ZL-YG3H,110,13,1.38%,2.79%,150,14,1.39%,2.41%,100.00%,100.00%,11,5,10.00%,38.46%,$329.69 ,$149.75 ,11,5
